res_date;STR_TO_DATE(res_date, '%d/%m/%Y')
10/12/2021;10/12/2021
10/3/2022;10/3/2022
11/3/2022;11/3/2022
13/4/2018;13/4/2018
13/5/2022;13/5/2022
16/12/2021;16/12/2021
2/8/2021;2/8/2021
23/4/2018;23/4/2018
23/6/2020;23/6/2020
24/2/2022;24/2/2022
24/5/2022;24/5/2022
31/5/2022;31/5/2022
4/5/2022;4/5/2022
7/4/2022;7/4/2022
1/3/2022;1/3/2022
1/3/2022;1/3/2022
1/4/2022;1/4/2022
10/2/2022;10/2/2022
10/3/2022;10/3/2022
11/4/2022;11/4/2022
11/4/2022;11/4/2022
11/4/2022;11/4/2022
12/4/2021;12/4/2021
12/4/2022;12/4/2022
12/4/2022;12/4/2022
13/12/2021;13/12/2021
13/3/2022;13/3/2022
14/10/2021;14/10/2021
15/12/2021;15/12/2021
16/12/2021;16/12/2021
21/3/2022;21/3/2022
22/12/2021;22/12/2021
23/3/2022;23/3/2022
23/3/2022;23/3/2022
23/3/2022;23/3/2022
24/5/2022;24/5/2022
26/5/2020;26/5/2020
28/3/2022;28/3/2022
3/11/2021;3/11/2021
30/3/2022;30/3/2022
30/3/2022;30/3/2022
4/11/2021;4/11/2021
4/2/2022;4/2/2022
5/2/2022;5/2/2022
5/5/2022;5/5/2022
6/11/2019;6/11/2019
6/12/2021;6/12/2021
6/4/2022;6/4/2022
7/4/2022;7/4/2022
8/1/2021;8/1/2021
8/6/2022;8/6/2022
9/12/2019;9/12/2019
9/12/2019;9/12/2019
9/3/2022;9/3/2022
9/6/2020;9/6/2020
1/11/2019;1/11/2019
1/3/2022;1/3/2022
1/6/2022;1/6/2022
10/3/2022;10/3/2022
10/4/2022;10/4/2022
10/7/2019;10/7/2019
10/8/2020;10/8/2020
10/8/2021;10/8/2021
11/2/2022;11/2/2022
11/3/2022;11/3/2022
11/5/2022;11/5/2022
11/5/2022;11/5/2022
11/5/2022;11/5/2022
12/4/2021;12/4/2021
12/4/2021;12/4/2021
12/4/2022;12/4/2022
12/4/2022;12/4/2022
12/5/2021;12/5/2021
12/7/2019;12/7/2019
13/4/2022;13/4/2022
13/5/2022;13/5/2022
13/5/2022;13/5/2022
14/1/2022;14/1/2022
14/10/2021;14/10/2021
14/3/2022;14/3/2022
14/4/2022;14/4/2022
15/4/2022;15/4/2022
15/5/2022;15/5/2022
16/11/2021;16/11/2021
16/5/2021;16/5/2021
16/5/2022;16/5/2022
17/2/2022;17/2/2022
17/2/2022;17/2/2022
17/2/2022;17/2/2022
17/5/2021;17/5/2021
18/1/2021;18/1/2021
18/1/2022;18/1/2022
18/4/2022;18/4/2022
18/4/2022;18/4/2022
18/6/2020;18/6/2020
19/11/2019;19/11/2019
19/6/2020;19/6/2020
2/11/2018;2/11/2018
2/7/2021;2/7/2021
2/9/2021;2/9/2021
20/4/2022;20/4/2022
20/5/2022;20/5/2022
20/5/2022;20/5/2022
21/5/2019;21/5/2019
22/2/2022;22/2/2022
22/3/2021;22/3/2021
23/11/2021;23/11/2021
23/8/2021;23/8/2021
24/1/2022;24/1/2022
24/3/2022;24/3/2022
24/5/2022;24/5/2022
24/5/2022;24/5/2022
25/5/2022;25/5/2022
25/5/2022;25/5/2022
25/5/2022;25/5/2022
25/7/2019;25/7/2019
26/4/2022;26/4/2022
26/5/2022;26/5/2022
26/5/2022;26/5/2022
27/10/2021;27/10/2021
27/3/2022;27/3/2022
27/3/2022;27/3/2022
27/3/2022;27/3/2022
27/5/2022;27/5/2022
27/5/2022;27/5/2022
27/5/2022;27/5/2022
28/3/2022;28/3/2022
28/4/2022;28/4/2022
29/11/2021;29/11/2021
29/4/2022;29/4/2022
3/11/2021;3/11/2021
3/11/2021;3/11/2021
3/11/2021;3/11/2021
3/11/2021;3/11/2021
3/3/2022;3/3/2022
3/5/2022;3/5/2022
3/5/2022;3/5/2022
3/9/2021;3/9/2021
30/12/2020;30/12/2020
30/5/2022;30/5/2022
31/1/2022;31/1/2022
31/3/2022;31/3/2022
31/5/2022;31/5/2022
4/3/2022;4/3/2022
4/4/2022;4/4/2022
4/5/2022;4/5/2022
4/9/2019;4/9/2019
5/4/2022;5/4/2022
5/5/2022;5/5/2022
5/7/2021;5/7/2021
6/5/2021;6/5/2021
6/5/2021;6/5/2021
6/5/2022;6/5/2022
7/2/2020;7/2/2020
7/3/2022;7/3/2022
7/4/2022;7/4/2022
7/5/2022;7/5/2022
7/6/2021;7/6/2021
8/4/2022;8/4/2022
8/5/2022;8/5/2022
8/6/2022;8/6/2022
9/5/2022;9/5/2022
1/12/2021;1/12/2021
1/3/2022;1/3/2022
1/3/2022;1/3/2022
1/4/2022;1/4/2022
10/2/2022;10/2/2022
10/3/2022;10/3/2022
10/5/2022;10/5/2022
11/5/2020;11/5/2020
11/5/2022;11/5/2022
11/5/2022;11/5/2022
11/5/2022;11/5/2022
12/2/2022;12/2/2022
12/4/2022;12/4/2022
13/1/2021;13/1/2021
13/12/2021;13/12/2021
14/10/2021;14/10/2021
14/12/2020;14/12/2020
14/3/2022;14/3/2022
15/12/2021;15/12/2021
15/12/2021;15/12/2021
15/2/2022;15/2/2022
15/4/2022;15/4/2022
15/5/2021;15/5/2021
16/3/2022;16/3/2022
16/4/2022;16/4/2022
16/4/2022;16/4/2022
16/4/2022;16/4/2022
16/4/2022;16/4/2022
17/3/2022;17/3/2022
17/5/2022;17/5/2022
18/1/2022;18/1/2022
18/3/2022;18/3/2022
19/2/2020;19/2/2020
19/4/2022;19/4/2022
19/5/2022;19/5/2022
19/5/2022;19/5/2022
19/7/2021;19/7/2021
2/11/2021;2/11/2021
2/3/2021;2/3/2021
2/3/2022;2/3/2022
2/4/2022;2/4/2022
20/4/2022;20/4/2022
20/5/2021;20/5/2021
20/5/2021;20/5/2021
20/5/2022;20/5/2022
21/1/2022;21/1/2022
22/3/2022;22/3/2022
22/5/2022;22/5/2022
22/5/2022;22/5/2022
22/5/2022;22/5/2022
23/2/2022;23/2/2022
23/3/2022;23/3/2022
23/3/2022;23/3/2022
23/7/2021;23/7/2021
24/11/2020;24/11/2020
24/2/2022;24/2/2022
24/3/2022;24/3/2022
25/2/2022;25/2/2022
25/2/2022;25/2/2022
25/2/2022;25/2/2022
25/4/2022;25/4/2022
25/4/2022;25/4/2022
26/2/2022;26/2/2022
26/5/2022;26/5/2022
26/5/2022;26/5/2022
26/7/2021;26/7/2021
27/11/2020;27/11/2020
27/2/2022;27/2/2022
27/3/2022;27/3/2022
27/6/2020;27/6/2020
28/4/2022;28/4/2022
29/1/2021;29/1/2021
29/5/2022;29/5/2022
29/5/2022;29/5/2022
29/5/2022;29/5/2022
29/9/2021;29/9/2021
3/2/2022;3/2/2022
3/4/2022;3/4/2022
3/4/2022;3/4/2022
3/5/2022;3/5/2022
30/5/2021;30/5/2021
31/3/2022;31/3/2022
4/1/2022;4/1/2022
4/10/2021;4/10/2021
4/11/2021;4/11/2021
4/2/2022;4/2/2022
4/5/2022;4/5/2022
4/5/2022;4/5/2022
5/1/2022;5/1/2022
5/11/2018;5/11/2018
5/2/2022;5/2/2022
5/4/2022;5/4/2022
5/5/2022;5/5/2022
5/5/2022;5/5/2022
5/8/2021;5/8/2021
6/5/2022;6/5/2022
7/10/2021;7/10/2021
7/2/2022;7/2/2022
7/3/2022;7/3/2022
7/4/2022;7/4/2022
7/5/2022;7/5/2022
7/5/2022;7/5/2022
7/5/2022;7/5/2022
7/5/2022;7/5/2022
7/6/2022;7/6/2022
7/6/2022;7/6/2022
7/6/2022;7/6/2022
7/6/2022;7/6/2022
8/2/2022;8/2/2022
8/3/2022;8/3/2022
8/3/2022;8/3/2022
8/4/2022;8/4/2022
9/3/2022;9/3/2022
9/4/2021;9/4/2021
9/4/2021;9/4/2021
9/6/2022;9/6/2022
11/12/2021;11/12/2021
13/1/2022;13/1/2022
14/3/2022;14/3/2022
18/10/2021;18/10/2021
3/5/2022;3/5/2022
30/10/2021;30/10/2021
5/1/2022;5/1/2022
1/10/2021;1/10/2021
1/11/2021;1/11/2021
1/11/2021;1/11/2021
1/12/2020;1/12/2020
1/12/2021;1/12/2021
1/12/2021;1/12/2021
1/2/2019;1/2/2019
1/2/2021;1/2/2021
1/2/2022;1/2/2022
1/2/2022;1/2/2022
1/2/2022;1/2/2022
1/2/2022;1/2/2022
