;Estimate ;Std. Error ;t value; Pr(>|t|) 
(Intercept);-1209941,00;218191,00;-5,55; 3,00e- 8
res_sqr;1682,00;31,60;53,20;0
construction_year;507,00;110,00;4,60;4,32e- 6
bedrooms;2431,00;1803,00;1,35;1,78e- 1
bathrooms;32988,00;2587,00;12,80;5,40E-37
sold;12743,00;4467,00;2,85;4,34e- 3
auto_heating;-14871,00;3407,00;-4,37;1,28e- 5
solar;-4661,00;3683,00;-1,27;2,06e- 1
cooling;27270,00;3489,00;7,82;5,89E-15
safe_door;24555,00;3694,00;6,65;3,12E-11
gas;41413,00;4602,00;9,00;2,62E-19
fireplace;25344,00;3944,00;6,43;1,36E-10
furniture;24603,00;6185,00;3,98;6,99e- 5
listing_age;-2,51;4,31;-0,58;5,60e- 1
location_name_encoded;0,34;797,00;42,30;0
levels_encoded;-570,00;81,90;-6,96;3,63E-12
location_region_Αττική;47063,00;7144,00;6,59;4,65E-11
res_type_Διαμέρισμα;-4355,00;6160,00;-0,71;4,80e- 1
res_type_Κτίριο;-76548,00;10192,00;-7,51;6,31E-14
res_type_Μεζονέτα;21933,00;6507,00;3,37;7,52e- 4
res_type_Οικία;-45602,00;19302,00;-2,36;1,82e- 2
energyclass_Α;21503,00;5831,00;3,69;2,28e- 4
energyclass_Β;7525,00;7162,00;1,05;2,93e- 1
energyclass_Γ;-11192,00;5342,00;-2,09;3,62e- 2
energyclass_Δ;-30003,00;5037,00;-5,96;2,65e- 9
status_Άριστη;42058,00;7382,00;5,70;1,24e- 8
status_Ανακαινισμένο;51856,00;7551,00;6,87;6,86E-12
status_Καλή;31625,00;6855,00;4,61;4,00e- 6
status_Νεόδμητο;86548,00;7774,00;11,1;1,22E-28
`status_Υπο κατασκευή`;117531,00;8830,00;13,3;3,99E-40
`status_Χρήζει ανακαίνισης`;29046,00;9522,00;3,05;2,29e- 3
