auto_heating;solar;cooling;fireplace;gas;avg_price
1;0;1;1;0;818.729
1;1;1;1;0;670.435
0;1;1;1;1;669.583
0;0;1;1;0;620.625
0;0;0;1;1;592.500
0;1;1;1;0;591.927
1;0;1;1;1;582.376
1;1;1;1;1;574.400
1;0;0;1;0;534.792
0;0;0;1;0;497.689
1;1;0;1;0;472.293
0;1;0;1;0;470.942
0;0;1;1;1;451.200
1;0;0;1;1;440.037
1;1;0;1;1;406.685
1;1;1;0;0;371.442
1;1;1;0;1;343.337
0;0;1;0;1;308.899
0;1;0;1;1;303.750
1;0;1;0;1;299.317
0;1;1;0;0;288.152
0;0;0;0;0;279.051
1;1;0;0;1;259.947
1;0;0;0;0;254.343
1;1;0;0;0;254.314
1;0;1;0;0;251.256
1;0;0;0;1;240.728
0;1;0;0;0;238.745
0;0;0;0;1;232.329
0;0;1;0;0;221.640
0;1;0;0;1;194.615
0;1;1;0;1;168.500
